Table;C;R;U;D;Owner;Program
LCCYS;;x;;;Reference_Data_Manager;DLDLLSIB;
ADETS;;x;;;Current_Account_Engine;DLDLLSIB;
INOSO;;x;;;Financial_Markets_Trade_engine;DLDLLSIB;
DCTRO;;x;;;Customer_Billing;DLDLLSIB;
DCONO;;x;;;Payments_Execution_Engine;DLDLLSIB;
REFFL;;;x;;Reference_Data_Manager;DLDLLSIB;
LBRAS;;x;;;Reference_Data_Manager;DLDLLSIB;
LELCS;;x;;;Party_Management;DLDLLSIB;
DPBDO;;x;;;Payments_Execution_Engine;DLDLLSIB;
DIPTO;;x;x;;Payments_Execution_Engine;DIIRC;
LCCYS;;x;;;Reference_Data_Manager;DIIRC;
LBRAS;;x;;;Reference_Data_Manager;DIIRC;
LPSNS;;x;;;Party_Management;DIIRC;
LCIYS;;x;;;Reference_Data_Manager;DIIRC;
LPHYS;;x;;;Party_Management;DIIRC;
REFFL;;;x;;Reference_Data_Manager;DIIRC;
LELCS;;x;;;Party_Management;DIIRC;
AASPS;;;x;;auxiliary;DIIRC;
RPSCH;;;x;;auxiliary;IUCLNUPBD;
REFFL;;;x;;Reference_Data_Manager;IUCLNUPBD;
IBBDO;;x;;x;auxiliary;IUCLNUPBD;
IBATO;;x;;x;Current_Account_Engine;IUCLNUPBD;
ASTDO;x;x;x;x;General_Ledger;ALNDM;
CMTCS;;x;x;;Financial Markets;CMTVM;
LCCYS;;x;;;Reference_Data_Manager;CMTVM;
CMTBO;x;x;x;x;Business_Lending_Engine;CMTVM;
LCIYS;;x;;;Reference_Data_Manager;CMTVM;
LPRDS;;x;;;Product_Management;CMTVM;
ADETS;;x;;;Current_Account_Engine;CMTVM;
CGUAS;;x;;;Business_Lending_Engine;CMTVM;
IGLDO;;x;;;Financial_Markets_Trade_engine;CMTVM;
ISIMO;;x;;;Business_Lending_Engine;CMTVM;
IIPIO;;x;;x;Financial Markets;IUFRTRPTRA;
LCCYS;;x;;;Reference_Data_Manager;IUFRTRPTRA;
LHOLO;;x;;;Reference_Data_Manager;IUFRTRPTRA;
RPSCH;;;x;;auxiliary;IUFRTRPTRA;
REFFL;;;x;;Reference_Data_Manager;IUFRTRPTRA;
IIFRO;x;x;x;x;financial markets;IUFRTRPTRA;
IERMO;;x;;x;auxiliary;IUFRTRPTRA;
DIPTO;;x;;;Payments_Execution_Engine;DIIU1;
DPTRO;;x;;;Payments_Execution_Engine;DIIU1;
DPTRL;;x;;;Payments_Execution_Engine;DIIU1;
LCCYS;;x;;;Reference_Data_Manager;DIIU1;
CMTCO;x;x;x;x;Financial Markets;CMTTC;
CRTRO;;x;;x;Business_Lending_Engine;CMTTC;
LPRDS;;x;;;Product_Management;IPAPC;
ILDPO;;x;x;;Financial_Markets_Trade_engine;IPAPC;
IGLDO;;x;;;Financial_Markets_Trade_engine;IPAPC;
ITLDO;;x;;;lending;IPAPC;
IPTIO;;x;;;Financial_Markets_Trade_engine;IPAPC;
LPSNS;;x;;;Party_Management;IPAPC;
IFXPO;;x;x;;Financial_Markets_Trade_engine;IPAPC;
IFXCO;;x;;;Financial_Markets_Trade_engine;IPAPC;
IFRPO;;x;x;;Financial_Markets_Trade_engine;IPAPC;
IFRAO;;x;;;Financial_Markets_Trade_engine;IPAPC;
IOPPO;;x;x;;Financial_Markets_Trade_engine;IPAPC;
IOPTS;;x;;;Financial_Markets_Trade_engine;IPAPC;
IRSPO;;x;x;;Financial_Markets_Trade_engine;IPAPC;
IGIRO;;x;;;Financial_Markets_Trade_engine;IPAPC;
ITIRO;;x;;;Financial_Markets_Trade_engine;IPAPC;
ICOPO;;x;x;;Reconciliation_Engine;IPAPC;
LPHYS;;x;;;Party_Management;IPAPC;
ABA1S;;x;;;General_Ledger;IPAPC;
LCCYS;;x;;;Reference_Data_Manager;IPAPC;
ILDPL;x;;;;auxiliary;IPAPC;
IFXPL;x;;;;auxiliary;IPAPC;
IFRPL;x;;;;Financial_Markets_Trade_engine;IPAPC;
IOPPL;x;;;;auxiliary;IPAPC;
IRSPL;x;;;;financial markets;IPAPC;
ICOPL;x;;;;auxiliary;IPAPC;
LRCES;;x;;;General_Ledger;IULDRDSIR;
LBRAS;;x;x;;Reference_Data_Manager;IULDRDSIR;
LPRDS;;x;;;Product_Management;IULDRDSIR;
LCTPS;;x;;;Party_Management;IULDRDSIR;
ABA1S;;x;;;General_Ledger;IULDRDSIR;
LCBNS;;x;x;;Party_Management;IULDRDSIR;
LPRFS;;x;;;General_Ledger;IULDRDSIR;
LBROS;;x;;;Party_Management;IULDRDSIR;
LCCYS;;x;x;;Reference_Data_Manager;IULDRDSIR;
IBBDO;x;x;x;;auxiliary;IULDRDSIR;
AASPS;;;x;;auxiliary;IULDRDSIR;
REFFL;;;x;;Reference_Data_Manager;IULDRDSIR;
IIPIO;x;x;x;;Financial Markets;IULDRDSIR;
ADETS;;x;;;Current_Account_Engine;IULDRDSIR;
LCCCS;;x;;;Reference_Data_Manager;IULDRDSIR;
INOSO;;x;;;Financial_Markets_Trade_engine;IULDRDSIR;
AIBRO;;x;;;auxiliary;IULDRDSIR;
ISPIO;;x;x;;Financial_Markets_Trade_engine;IULDRDSIR;
ISIFO;;x;x;;Financial_Markets_Trade_engine;IULDRDSIR;
IIRSO;x;x;x;x;Financial Markets;IULDRDSIR;
IGIRO;;x;x;;Financial_Markets_Trade_engine;IULDRDSIR;
IPTIO;;x;x;;Financial_Markets_Trade_engine;IULDRDSIR;
IPMTO;;x;;;Financial_Markets_Trade_engine;IULDRDSIR;
IERMO;x;x;;x;auxiliary;IULDRDSIR;
ITIRO;;x;;;Financial_Markets_Trade_engine;IULDRDSIR;
RSTRT;;x;x;;auxiliary;IULDRDSIR;
DIPTO;;x;x;;Payments_Execution_Engine;DIIUF;
LCCYS;;x;;;Reference_Data_Manager;DIIUF;
LBRAS;;x;;;Reference_Data_Manager;DIIUF;
REFFL;;;x;;Reference_Data_Manager;DIIUF;
LPSNS;;x;;;Party_Management;DIIUF;
ICNFS;;x;;;Reconciliation_Engine;DIIUF;
DSTAO;;x;;;Payments_Execution_Engine;DIIUF;
PRSNL;;x;x;;Core;DIIUF;
LPHYS;;x;;;Party_Management;DIIUF;
DPBDO;;x;x;;Payments_Execution_Engine;DIIUF;
AGEXS;;x;;;General_ledger;XLSUMRUB;
XGBUO;;x;;;General_Ledger;XLSUMRUB;
LBRAS;;x;;;Reference_Data_Manager;XLSUMRUB;
LCCYS;;x;;;Reference_Data_Manager;XLSUMRUB;
XGDCS;;x;;;General_Ledger;XLSUMRUB;
XGMVO;;x;;;General_Ledger;XLSUMRUB;
XGPAO;;x;;;General_Ledger;XLSUMRUB;
IIFXO;;x;x;;financial markets;IAMTC;
LPHYS;;x;;;Party_Management;IAMTC;
ABA1S;;x;;;General_Ledger;IAMTC;
LRCES;;x;;;General_Ledger;IAMTC;
LCCYS;;x;;;Reference_Data_Manager;IAMTC;
IIPIO;;x;;;Financial Markets;IAMTC;
AASPS;;x;;;auxiliary;IAMTC;
CMTCS;;x;;;Financial Markets;IAMTC;
CMTCO;;x;;;Financial Markets;IAMTC;
ICNFS;;x;;;Reconciliation_Engine;GI-102-CLKOLDOC;
DIPTO;x;x;x;;Payments_Execution_Engine;DIIUC;
REFFL;;;x;;Reference_Data_Manager;DIIUC;
LPHYS;;x;;;Party_Management;DIIUC;
LCCYS;;x;;;Reference_Data_Manager;DIIUC;
LCRYS;;x;;;Reference_Data_Manager;DIIUC;
LBRAS;;x;;;Reference_Data_Manager;DIIUC;
LCIYS;;x;;;Reference_Data_Manager;DIIUC;
GPARO;;x;;;Core;DIIUC;
ICNFS;;x;;;Reconciliation_Engine;DIIUC;
GCNVO;;x;;;Core;DIIUC;
LPSNS;;x;;;Party_Management;DIIUC;
DDETO;;x;;;Payments_Execution_Engine;DIIUC;
ILNGS;;x;x;x;Financial_Markets_Trade_engine;ILNGS;
LBROS;;x;;;Party_Management;ILNGS;
LPHYS;;x;;;Party_Management;ILNGS;
LELCS;;x;;;Party_Management;ILNGS;
LPSNS;;x;;;Party_Management;ILNGS;
LCRYS;;x;;;Reference_Data_Manager;ILNGS;
ILNGL;x;;;;auxiliary;ILNGS;
LGXFO;;x;;;Reference_Data_Manager;LGR4C;
LCTPS;;x;;;Party_Management;LGR4C;
LGRDO;;x;;;Reference_Data_Manager;LGR4C;
ICNFS;;x;;;Reconciliation_Engine;LGR4C;
ATDCS;;x;;;Reference_Data_Manager;AUFCMJAN;
ADETS;x;x;;;Current_Account_Engine;AUFCMJAN;
AMDCO;x;;;;General_Ledger;AUFCMJAN;
AFOLO;x;;;;General_Ledger;AUFCMJAN;
ADETL;x;;;;auxiliary;AUFCMJAN;
LBRAS;;x;x;;Reference_Data_Manager;AUFCMJAN;
LCCYS;;x;;;Reference_Data_Manager;AUFCMJAN;
AASPS;;x;x;;auxiliary;AUFCMJAN;
REFFL;;;x;;Reference_Data_Manager;LCI7C;
LCTIO;x;x;x;;Party_Management;LCI7C;
LPHYS;;x;;;Party_Management;LCI7C;
LPHIO;;x;;;Party_Management;LCI7C;
LCTPS;;x;;;Party_Management;LCI7C;
LBRAS;;x;x;;Reference_Data_Manager;LCI7C;
LCRYS;;x;;;Reference_Data_Manager;LCI7C;
ICNFS;;x;;;Reconciliation_Engine;LCI7C;
LCIYS;;x;;;Reference_Data_Manager;LCI7C;
LCBNS;;x;x;;Party_Management;LCI7C;
AASPS;;;x;;auxiliary;LCI7C;
ILDTL;;x;;;auxiliary;ILDAYMVTLD;
IGLDO;;x;;;Financial_Markets_Trade_engine;ILDAYMVTLD;
ITLDO;;x;;;lending;ILDAYMVTLD;
LCBNS;;x;;;Party_Management;ILDAYMVTLD;
LCCYS;;x;;;Reference_Data_Manager;ILDAYMVTLD;
ILDCL;;x;;;Reconciliation_Engine;ILDAYMVTLD;
ILDCO;;x;;;Reconciliation_Engine;ILDAYMVTLD;
ILDPL;;x;;;auxiliary;ILDAYMVTLD;
ILDPO;;x;;;Financial_Markets_Trade_engine;ILDAYMVTLD;
IPTIO;;x;;;Financial_Markets_Trade_engine;ILDAYMVTLD;
LPRDS;;x;;;Product_Management;ILDAYMVTLD;
IPTIL;;x;;;auxiliary;ILDAYMVTLD;
AASPS;;;x;;auxiliary;ILDAYMVTLD;
RPDEF;;;x;;auxiliary;ILDAYMVTLD;
LPHYS;;x;;;Party_Management;ILDAYMVTLD;
DRSDO;;x;;;Instruction_and_Order_Management;DRSMC;
DRSMO;;x;x;;Instruction_and_Order_Management;DRSMC;
LCCYS;;x;;;Reference_Data_Manager;DRSMC;
LPHYS;x;;;;Party_Management;DAEQ1;
LCBNS;x;x;;;Party_Management;DAEQ1;
LELCS;x;x;;;Party_Management;DAEQ1;
LCCYS;x;x;;;Reference_Data_Manager;DAEQ1;
LBRAS;x;x;;;Reference_Data_Manager;DAEQ1;
LCIYS;x;;;;Reference_Data_Manager;DAEQ1;
LPSNS;x;x;;;Party_Management;DAEQ1;
AASPS;;x;;;auxiliary;DAEQ1;
ADETS;x;x;;;Current_Account_Engine;DAEQ1;
ATRTS;;x;;;General_ledger;ATRTS;
LPRDS;;x;;;Product_Management;ATRTS;
ABKTS;;x;;;General_ledger;ATRTS;
ATRCS;;x;;;General_Ledger;ATRTS;
ATRTL;x;;;;auxiliary;ATRTS;
PRSNL;;x;x;;Core;GP-009RPSCHED;
RPDEF;;;x;;auxiliary;GP-009RPSCHED;
RPSCH;x;;;;auxiliary;GP-009RPSCHED;
REFFL;;;x;;Reference_Data_Manager;LPTLI;
LPHYS;;x;;;Party_Management;LPTLI;
LCTPS;;x;;;Party_Management;LPTLI;
LPSNS;;x;;;Party_Management;LPTLI;
LCRYS;;x;;;Reference_Data_Manager;DLDLCCLCUS;
LCBNS;;x;;;Party_Management;DLDLCCLCUS;
LBRAS;;x;;;Reference_Data_Manager;DLDLCCLCUS;
LCTPS;;x;;;Party_Management;DLDLCCLCUS;
LPSNS;;x;;;Party_Management;DLDLCCLCUS;
LPHYS;;x;;;Party_Management;DLDLCCLCUS;
CFACS;;x;;;Business_Lending_Engine;DLDLCCLCUS;
LCCYS;;x;;;Reference_Data_Manager;DLDLCCLCUS;
LCIYS;;x;;;Reference_Data_Manager;DLDLCCLCUS;
ASPAS;;x;;;Customer_Reporting;DLDLCCLCUS;
LELCS;;x;;;Party_Management;DLDLCCLCUS;
ADETS;;x;;;Current_Account_Engine;DLDLCCLCUS;
LCORO;;x;;;Party_Management;DRSM5;
LCCYS;;x;;;Reference_Data_Manager;DRSM5;
DRSMO;;x;;;Instruction_and_Order_Management;DRSM5;
ILNGS;;x;;;Financial_Markets_Trade_engine;ILNG5;
ATRTS;;x;;;General_ledger;ATRT5;
LPRDS;;x;;;Product_Management;ATRT5;
PRSNL;;x;;;Core;CUDLYRTR;
LPHYS;;x;;;Party_Management;CUDLYRTR;
LRCES;;x;;;General_Ledger;CUDLYRTR;
LPRDS;;x;;;Product_Management;CUDLYRTR;
LCCYS;;x;;;Reference_Data_Manager;CUDLYRTR;
CRTRO;;x;x;x;Business_Lending_Engine;CUDLYRTR;
CCBRO;x;x;;x;Business_Lending_Engine;CUDLYRTR;
CFACS;;x;x;;Business_Lending_Engine;CUDLYRTR;
CFRSO;x;x;x;;Business_Lending_Engine;CUDLYRTR;
CFRSL;x;;;;auxiliary;CUDLYRTR;
LCTPS;;x;;;Party_Management;ALDLCBRCTP;
LCIYS;;x;;;Reference_Data_Manager;ALDLCBRCTP;
LCRYS;;x;;;Reference_Data_Manager;ALDLCBRCTP;
DPTRL;;x;x;;Payments_Execution_Engine;DUFDBMTCH;
DPTRO;;x;x;;Payments_Execution_Engine;DUFDBMTCH;
PRSNL;;x;;;Core;DUFDBMTCH;
LPHYS;;x;;;Party_Management;DUFDBMTCH;
LRCES;;x;;;General_Ledger;DUFDBMTCH;
LCCYS;;x;;;Reference_Data_Manager;DUFDBMTCH;
DPFBK;;x;;x;Payments_Execution_Engine;DUFDBMTCH;
LCBNS;;x;;;Party_Management;LLCHKRISAC;
LCTPS;;x;x;;Party_Management;LLCHKRISAC;
DDDCO;x;x;x;x;Instruction_and_Order_Management;DDI2M;
LCBNS;;x;;;Party_Management;DDI2M;
LCORO;;x;;;Party_Management;DDI2M;
DDDCL;x;;;;auxiliary;DDI2M;
IGIRO;;x;;;Financial_Markets_Trade_engine;ILIRSINFO;
ITIRO;;x;;;Financial_Markets_Trade_engine;ILIRSINFO;
IPTIO;;x;;;Financial_Markets_Trade_engine;ILIRSINFO;
LCCYS;;x;;;Reference_Data_Manager;ILIRSINFO;
LCBNS;;x;;;Party_Management;ILIRSINFO;
LPHYS;;x;;;Party_Management;ILIRSINFO;
REFFL;;;x;;Reference_Data_Manager;IEXC5;
LCCYS;;x;;;Reference_Data_Manager;IEXC5;
ISAVO;x;x;;x;auxiliary;IEXC5;
IFXPO;;x;x;;Financial_Markets_Trade_engine;IEXC5;
ILDPO;;x;x;;Financial_Markets_Trade_engine;IEXC5;
IFRPO;;x;x;;Financial_Markets_Trade_engine;IEXC5;
IOPPO;;x;x;;Financial_Markets_Trade_engine;IEXC5;
IRSPO;;x;x;;Financial_Markets_Trade_engine;IEXC5;
LRCES;;x;;;General_Ledger;IEXC5;
LPRDS;;x;;;Product_Management;IEXC5;
ICNFO;;x;;;Reconciliation_Engine;IEXC5;
LBROS;;x;;;Party_Management;IMFT5;
IFFCO;;x;;;Financial_Markets_Trade_engine;IMFT5;
IFTCO;;x;;;Financial_Markets_Trade_engine;IMFT5;
IGIRO;;x;;;Financial_Markets_Trade_engine;AUCNVLOC;
ITIRO;;x;x;;Financial_Markets_Trade_engine;AUCNVLOC;
ITLDO;;x;x;;lending;AUCNVLOC;
IFXCO;;x;x;;Financial_Markets_Trade_engine;AUCNVLOC;
LCCYS;;x;;;Reference_Data_Manager;AUCNVLOC;
DIPTL;;x;;x;auxiliary;DUPRGDIPTL;
DPBDO;;x;;x;Payments_Execution_Engine;DUPRGDIPTL;
REFFL;;;x;;Reference_Data_Manager;IFCP1;
IFFCO;;x;;;Financial_Markets_Trade_engine;IFCP1;
IFCPO;x;x;x;x;Financial_Markets_Trade_engine;IFCP1;
REFFL;;;x;;Reference_Data_Manager;GI-060-RTR-ADETS;
APPNO;;x;;;Product_Management;GI-060-RTR-ADETS;
ANTUS;;x;;;Current_Account_Engine;GI-060-RTR-ADETS;
LCCYS;;x;;;Reference_Data_Manager;GI-060-RTR-ADETS;
CRTRO;x;x;x;;Business_Lending_Engine;GI-060-RTR-ADETS;
ADETS;;;x;;Current_Account_Engine;GI-060-RTR-ADETS;
AASPS;;;x;;auxiliary;GI-060-RTR-ADETS;
REFFL;;;x;;Reference_Data_Manager;CFIIA;
LCCYS;;x;;;Reference_Data_Manager;CFIIA;
CMTIO;x;x;;;auxiliary;CFIIA;
CMTLO;;x;;;Business_Lending_Engine;CFIIA;
CCMHO;;x;;;Business_Lending_Engine;CFIIA;
CMHIO;;x;;;auxiliary;CFIIA;
LBRAS;;x;;;Reference_Data_Manager;CFIIA;
LRESS;;x;;;Reference_Data_Manager;CFIIA;
IIPIO;x;;;;Financial Markets;CFIIA;
REFFL;;;x;;Reference_Data_Manager;LPI3M;
LCTIO;x;x;x;;Party_Management;LPI3M;
LCTPS;;x;;;Party_Management;LPI3M;
LGXFO;;x;;;Reference_Data_Manager;LPI3M;
LGRDO;;x;;;Reference_Data_Manager;LPI3M;
LPSIO;x;x;x;;auxiliary;LPI3M;
LPSNS;;x;x;;Party_Management;LPI3M;
LELIO;;x;;;Party_Management;LPI3M;
LPHIO;;x;;;Party_Management;LPI3M;
LBRAS;;x;;;Reference_Data_Manager;LPI3M;
LCIYS;;x;;;Reference_Data_Manager;LPI3M;
LCBNS;;x;;;Party_Management;LPI3M;
LELCS;;x;;;Party_Management;LPI3M;
AASPS;;;x;;auxiliary;LPI3M;
CSEIO;x;x;x;;auxiliary;CSC1M;
CSECS;;x;;;Collateral_Management;CSC1M;
CSCOO;;x;;;Collateral_Management;CSC1M;
LPRDS;;x;;;Product_Management;CSC1M;
ADETS;;x;;;Current_Account_Engine;CSC1M;
AASPS;;;x;;auxiliary;CSC1M;
LCBNS;;x;;;Party_Management;DUZEROBAL;
LPSNS;;x;;;Party_Management;DUZEROBAL;
LPHYS;;x;;;Party_Management;DUZEROBAL;
LCCYS;;x;;;Reference_Data_Manager;DUZEROBAL;
ADETS;;x;;;Current_Account_Engine;DUZEROBAL;
DCPOO;;x;x;;Cash_Management_Engine;DUZEROBAL;
AASPS;;;x;;auxiliary;DUZEROBAL;
AMVTO;;x;;;Current_Account_Engine;DUZEROBAL;
DPTRO;x;;;;Payments_Execution_Engine;DUZEROBAL;
DCTRO;x;;;;Customer_Billing;DUZEROBAL;
DMSTO;;x;;;Cash_Management_Engine;DUZEROBAL;
LPRDS;;x;;;Product_Management;IMFX5;
LRCES;;x;;;General_Ledger;IMFX5;
LPSNS;;x;;;Party_Management;IMFX5;
ABA1S;;x;;;General_Ledger;IMFX5;
LCCYS;;x;;;Reference_Data_Manager;IMFX5;
LBRAS;;x;;;Reference_Data_Manager;IMFX5;
LBROS;;x;;;Party_Management;IMFX5;
PRSNL;;x;;;Core;IMFX5;
IFXCO;;x;;;Financial_Markets_Trade_engine;IMFX5;
ISAVO;;x;;;auxiliary;IMFX5;
LCCYS;;x;;;Reference_Data_Manager;ALACCLST;
LCBNS;;x;;;Party_Management;ALACCLST;
LPHYS;;x;;;Party_Management;ALACCLST;
ADETL;;x;;;auxiliary;ALACCLST;
ABA1S;;x;;;General_Ledger;ALACCLST;
LCCCS;;x;;;Reference_Data_Manager;IP-003CCRYCCCYEXB;
LCCYS;;x;;;Reference_Data_Manager;IP-003CCRYCCCYEXB;
LCRYS;;x;;;Reference_Data_Manager;IP-003CCRYCCCYEXB;
GRTPO;;x;;;Core;GUSTARTUP;
AASPS;;;x;;auxiliary;GUSTARTUP;
REFFL;;;x;;Reference_Data_Manager;GUSTARTUP;
LCCCS;;x;;;Reference_Data_Manager;IP-003CCRYCCCYEXI;
CRTRO;;x;x;x;Business_Lending_Engine;CURTRFILL;
LPRDS;;x;;;Product_Management;CURTRFILL;
IOPTS;;x;;;Financial_Markets_Trade_engine;CURTRFILL;
IFRAO;;x;;;Financial_Markets_Trade_engine;CURTRFILL;
IGIRO;;x;;;Financial_Markets_Trade_engine;CURTRFILL;
CGUAS;;x;;;Business_Lending_Engine;CURTRFILL;
ISIMO;;x;x;;Business_Lending_Engine;CURTRFILL;
ADETS;;x;;x;Current_Account_Engine;CURTRFILL;
CBFMO;;x;;;auxiliary;CURTRFILL;
REFFL;;;x;;Reference_Data_Manager;CURTRFILL;
IFXCO;;x;;;Financial_Markets_Trade_engine;CURTRFILL;
CMTCO;;x;;;Financial Markets;CURTRFILL;
IGLDO;;x;;;Financial_Markets_Trade_engine;CURTRFILL;
ITLDO;;x;;;lending;CURTRFILL;
CCMHO;;x;;;Business_Lending_Engine;CURTRFILL;
CSHOO;;x;;;financial markets;CURTRFILL;
BDLGO;;x;;;Financial Markets;CURTRFILL;
BISSO;;x;;;Financial Markets;CURTRFILL;
REFFL;;;x;;Reference_Data_Manager;LPI2M;
LCTIO;x;x;x;;Party_Management;LPI2M;
LCTPS;;x;;;Party_Management;LPI2M;
LGXFO;;x;;;Reference_Data_Manager;LPI2M;
LGRDO;;x;;;Reference_Data_Manager;LPI2M;
ICNFS;;x;;;Reconciliation_Engine;LPI2M;
LPHYS;;x;;;Party_Management;LPI2M;
LPHIO;x;x;x;;Party_Management;LPI2M;
LELIO;x;x;x;;Party_Management;LPI2M;
LELCS;;x;;;Party_Management;LPI2M;
LCBNS;;x;;;Party_Management;LPI2M;
LPSIO;;x;;;auxiliary;LPI2M;
LBRAS;;x;x;;Reference_Data_Manager;LPI2M;
LCIYS;;x;;;Reference_Data_Manager;LPI2M;
LCRYS;;x;;;Reference_Data_Manager;LPI2M;
LCORO;;x;;;Party_Management;LPI2M;
ABA1S;;x;;;General_Ledger;LPI2M;
DMSTO;;x;;;Cash_Management_Engine;LPI2M;
AASPS;;;x;;auxiliary;LPI2M;
LCTPS;;x;x;;Party_Management;CCTPC;
LPHYS;;x;;;Party_Management;CCTPC;
LCBNS;;x;;;Party_Management;CCTPC;
REFFL;;;x;;Reference_Data_Manager;CCTPC;
PRSNL;;x;;;Core;CCTPC;
LBRAS;;x;x;;Reference_Data_Manager;CCTPC;
LCRYS;;x;;;Reference_Data_Manager;CCTPC;
ICNFS;;x;;;Reconciliation_Engine;CCTPC;
LPSNS;;x;;;Party_Management;CCTPC;
LCTPL;x;;;;auxiliary;CCTPC;
CFACS;;x;x;;Business_Lending_Engine;CCTPC;
CFACL;x;;;;auxiliary;CCTPC;
CSECS;;x;x;;Collateral_Management;CCTPC;
CSECL;x;;;;auxiliary;CCTPC;
CMTLO;;x;x;x;Business_Lending_Engine;JTCCCMTLO;
CCMHO;;x;x;;Business_Lending_Engine;JTCCCMTLO;
CSECS;;x;;;Collateral_Management;CSC2M;
CSCOO;;x;;;Collateral_Management;CSC2M;
CSEIO;;x;;;auxiliary;CSC2M;
IFXPO;;x;x;;Financial_Markets_Trade_engine;IUTKOSWF2;
ILDPO;;x;x;;Financial_Markets_Trade_engine;IUTKOSWF2;
IFRPO;;x;x;;Financial_Markets_Trade_engine;IUTKOSWF2;
IOPPO;;x;x;;Financial_Markets_Trade_engine;IUTKOSWF2;
IRSPO;;x;x;;Financial_Markets_Trade_engine;IUTKOSWF2;
BATCH;;x;;;auxiliary;GBTIS;
GBTPS;;x;;;Core;GBTIS;
GBTRO;;x;;;Core;GBTIS;
PRSNL;;x;;;Core;ALDLBSHRCN;
LPHYS;;x;;;Party_Management;ALDLBSHRCN;
LRCES;;x;;;General_Ledger;ALDLBSHRCN;
CCMHO;;x;;;Business_Lending_Engine;ALDLBSHRCN;
CMTLO;;x;;;Business_Lending_Engine;ALDLBSHRCN;
LCCYS;;x;;;Reference_Data_Manager;ALDLBSHRCN;
LCBNS;;x;;;Party_Management;ALDLBSHRCN;
ADLGS;;x;;;General_ledger;ALDLBSHRCN;
IGLDO;;x;;;Financial_Markets_Trade_engine;ALDLBSHRCN;
ITLDO;;x;;;lending;ALDLBSHRCN;
CGUAS;;x;;;Business_Lending_Engine;ALDLBSHRCN;
CGURO;;x;;;Business_Lending_Engine;ALDLBSHRCN;
APPNO;;x;;;Product_Management;ALDLBSHRCN;
CSECS;;x;;;Collateral_Management;ALDLBSHRCN;
ADETS;;x;;;Current_Account_Engine;ALDLBSHRCN;
CCDIS;;x;;;auxiliary;CCDIS;
REFFL;;;x;;Reference_Data_Manager;CCDIS;
CCOMS;;x;;;Business_Lending_Engine;CCDIS;
CCOCO;;x;;;Business_Lending_Engine;CCDIS;
CCREO;;x;;;Business_Lending_Engine;CCDIS;
CFACS;;x;;;Business_Lending_Engine;CCDIS;
CCGRS;;x;;;Business_Lending_Engine;CCDIS;
CCDIL;x;;;;auxiliary;CCDIS;
ADETS;x;x;x;;Current_Account_Engine;AUEURACC;
AFOLO;x;;;;General_Ledger;AUEURACC;
AMDCO;x;;;;General_Ledger;AUEURACC;
LCCYS;;x;;;Reference_Data_Manager;AUEURACC;
AASPS;;;x;;auxiliary;AUEURACC;
LBRAS;;x;;;Reference_Data_Manager;AUEURACC;
IFXAO;x;x;;;Financial_Markets_Trade_engine;IUDLYACCAB;
ILDAO;x;x;;;Financial_Markets_Trade_engine;IUDLYACCAB;
IPTIO;;x;;;Financial_Markets_Trade_engine;IUDLYACCAB;
IPTIL;;x;;;auxiliary;IUDLYACCAB;
ILPAO;;x;;;Financial_Markets_Trade_engine;IUDLYACCAB;
LPSNS;;x;;;Party_Management;IUDLYACCAB;
IFXPO;;x;;;Financial_Markets_Trade_engine;IUDLYACCAB;
ILDPO;;x;;;Financial_Markets_Trade_engine;IUDLYACCAB;
LELCS;;x;;;Party_Management;IUDLYACCAB;
ITLDO;;x;x;;lending;IUDLYACCAB;
LCBNS;;x;;;Party_Management;IUDLYACCAB;
ATRDO;x;;;;Current_Account_Engine;IUDLYACCAB;
IWARO;;x;;;Financial_Markets_Trade_engine;IUDLYACCAB;
LCCYS;;x;;;Reference_Data_Manager;IUDLYACCAB;
IGLDO;;x;x;;Financial_Markets_Trade_engine;IUDLYACCAB;
REFFL;;;x;;Reference_Data_Manager;IUDLYACCAB;
LPRDS;;x;;;Product_Management;IUDLYACCAB;
APPNO;;x;;;Product_Management;IUDLYACCAB;
CFACS;;x;;;Business_Lending_Engine;IUDLYACCAB;
AIBRO;;x;;;auxiliary;IUDLYACCAB;
LBRAS;;x;;;Reference_Data_Manager;IUDLYACCAB;
IFXCO;;x;x;;Financial_Markets_Trade_engine;IUDLYACCAB;
ATRTS;;x;;;General_ledger;IUDLYACCAB;
AEXRS;;x;;;Reference_Data_Manager;IUDLYACCAB;
ATAHS;;x;;;auxiliary;IUDLYACCAB;
RSTRT;;;x;;auxiliary;IUDLYACCAB;
RPSCH;;;x;;auxiliary;IUDLYACCAB;
AASPS;;x;x;;auxiliary;IUDLYACCAB;
IBATO;;x;x;;Current_Account_Engine;IUDLYACCAB;
IILDO;;x;;x;auxiliary;IUDLYACCAB;
REFFL;;;x;;Reference_Data_Manager;CFIIC;
LCCYS;;x;;;Reference_Data_Manager;CFIIC;
CMTIO;x;x;x;;auxiliary;CFIIC;
IIPIO;x;x;x;x;Financial Markets;CFIIC;
CMTLO;;x;;;Business_Lending_Engine;CFIIC;
CPTIO;;x;;;Business_Lending_Engine;CFIIC;
CCMHO;;x;;;Business_Lending_Engine;CFIIC;
CMHIO;;x;;;auxiliary;CFIIC;
LBRAS;;x;;;Reference_Data_Manager;CFIIC;
LRESS;;x;;;Reference_Data_Manager;CFIIC;
AASPS;;;x;;auxiliary;CFIIC;
