Table;C;R;U;D;Owner;Program
LRCES;;x;;;General_Ledger;DULDCLEAGE;
LPSNS;;x;;;Party_Management;DULDCLEAGE;
LELCS;;x;;;Party_Management;DULDCLEAGE;
ATXCO;x;x;x;x;Current_Account_Engine;ATXCM;
REFFL;;;x;;Reference_Data_Manager;ATXCM;
LCCYS;;x;;;Reference_Data_Manager;ATXCM;
LPRDS;;x;;;Product_Management;ATXCM;
LRESS;;x;;;Reference_Data_Manager;ATXCM;
ATXCL;x;;;;auxiliary;ATXCM;
AASPS;;;x;;auxiliary;ATXCM;
ABA1S;;x;x;;General_Ledger;ABA2C;
ABA1L;x;x;x;;auxiliary;ABA2C;
AASPS;;;x;;auxiliary;ABA2C;
ICNFS;;x;;;Reconciliation_Engine;ILCNFMAN;
ITXTO;;x;;;auxiliary;ILCNFMAN;
LBRAS;;x;x;;Reference_Data_Manager;ILCNFMAN;
LCBNS;;x;;;Party_Management;ILCNFMAN;
LPHYS;;x;;;Party_Management;ILCNFMAN;
ATMPO;;x;;;Customer_Reporting;ILCNFMAN;
LCCYS;;x;;;Reference_Data_Manager;ILCNFMAN;
AFOLO;;x;;;General_Ledger;ILCNFMAN;
AMDCO;;x;;;General_Ledger;ILCNFMAN;
REFFL;;;x;;Reference_Data_Manager;LPHIF;
LPHIO;;x;x;;Party_Management;LPHIF;
LPHYS;x;x;x;;Party_Management;LPHIF;
LCTIO;;x;;;Party_Management;LPHIF;
LPSIO;;x;;;auxiliary;LPHIF;
LPSNS;;x;;;Party_Management;LPHIF;
AASPS;;;x;;auxiliary;LPHIF;
LPHYL;x;;;;auxiliary;LPHIF;
AASPS;;x;;;auxiliary;GP-089CALC-ACRINT;
BISSO;;x;;;Financial Markets;GP-089CALC-ACRINT;
LBRAS;;x;;;Reference_Data_Manager;GP-089CALC-ACRINT;
LBRAS;;x;;;Reference_Data_Manager;ILDEALNUM;
LPHYS;;x;;;Party_Management;ILDEALNUM;
LRCES;;x;;;General_Ledger;ILDEALNUM;
IGLDO;;x;;;Financial_Markets_Trade_engine;ILDEALNUM;
LPRDS;;x;;;Product_Management;ILDEALNUM;
IFXCO;;x;;;Financial_Markets_Trade_engine;ILDEALNUM;
IFRAO;;x;;;Financial_Markets_Trade_engine;ILDEALNUM;
AASPS;;;x;;auxiliary;ILDEALNUM;
