Usable;Table;Short description as found in DB;Owner;Extra explanation as given by expert;Shared;Status;Comments
n;IIPIO;Interim file payment instr. ;Financial Markets;;;;
n;IIRSO;Interim file IRS contracts ;Financial Markets;;;;
n;IRSPL;IRS payment status log file ;Financial Markets;;;;
n;IDPLO;DAILY P / L ;general ledger;;;;
n;CEXPS;Commercial Explication Invent. ;Lending;loans&guaranties;;;
n;CFATO;Facil. booking entries ;Lending;not really used/relevant;;;
n;CFCRO;Facility Comm. Date/Amount ;Lending;;;;
n;CGURL;Guarantee reduction sched. LOG ;Lending;;;;
n;CHFCO;History of Fee Calcul. Basis ;Lending;;;;
n;CREPL;Warranties & Representations ;Lending;;;;
n;CROCL;RAROC INFORMATION ;lending;;;;
n;ITLDO;Trailer loan/deposits contract ;lending;;;;
n;ITITO;Titrisation ;Lending | Financial Markets;Transforming loans into securities (effecten);;;
n;LEBAO;EBA Clearers ;Party Management;;;;
n;DFSIL;FI Auto Sett Instructions ;Payment Execution Engine;;;;
n;DGCAL;code group booking ;Payment Execution Engine;;;;
n;DRPTO;Reporting structure XBR ;Payment Execution Engine;latest record date from april 2003, not used anymore;;;
n;LBIRO;BIREL Directory ;Payment Execution Engine;data to transfer swift msg to BIREL (Italian clearing);;;
n;AAFRL;Advice Frame Logging;;;;;
n;AAFRL;Advice Frame Logging;;;;;
n;AAFRO;Advice Frame Dictionary ;;;;;
n;AAFRO;Advice Frame Dictionary ;;;;;
n;AAISO;ABKTS Parameters for AIS ;;;;;
n;AAISO;ABKTS Parameters for AIS ;;;;;
n;AASPL;Logging structure for AASPS ;;;;;
n;AASPL;Logging structure for AASPS ;;;;;
n;AASPS;Accounting System Parameter ;;;;;
n;AASPS;Accounting System Parameter ;;;;;
n;ABA1L;LOG File for Int. Base Account ;;;;;
n;ABA1L;LOG File for Int. Base Account ;;;;;
n;ABASL;Logging ABASS ;;;;;
n;ABASS;Basic Allocation Table ;;;;;
n;ABCLL;Global FX Limits per Ccy - Log ;;;;;
n;ABKTL;AUTOMATIC BOOKING TABLE LOG. ;;;;;
n;ABUDL;Logging ABUDL ;;;;;
n;ACLOG;ACCESS LOG FILE ;;;;;
n;ACVRO;Maintain EURO Conversion Rates ;;;;;
n;ADETL;Logging ADETS ;;;;;
n;ADLGL;Logging ADLGS ;;;;;
n;ADSNL;Logging ADSNS ;;;;;
n;AEXRL;Logging AEXRS ;;;;;
n;AGEXL;Logging AGEXS ;;;;;
n;AIBRL;Logging Interbranch Table ;;;;;
n;AIBRO;INTERBRANCH TABLE ;;;;;
n;AINIO;Account Interest Cond.Interim ;;;;;
n;AINTL;Logging AINTS ;;;;;
n;AJSTL;Logging AJSTO ;;;;;
n;ALGRL;Logging ALGRS ;;;;;
n;ANEUL;LOGGING ANEUO ;;;;;
n;ANTUL;Logging ANTUS ;;;;;
n;APPNL;Logging APPNO ;;;;;
n;ARBRL;Logging ARBRO ;;;;;
n;ARCDL;Logging ARCDO ;;;;;
n;AREIO;Acc. Inter. Sett. Maint. Inte. ;;;;;
n;ARESL;Logging File for ARESS ;;;;;
n;ARETL;Logging ARETO ;;;;;
n;AROTL;Logging AROTO ;;;;;
n;ARPPO;Cpty Root Number per Product ;;;;;
n;ASELL;Logging File ASELO ;;;;;
n;ASELO; ;;;;;
n;ASPAL;Logging ASPAS ;;;;;
n;ASPIO;Indiv. Acc.Statem.Param. Int. ;;;;;
n;ASTMS;Statement Narrative Input ;;;;;
n;ATADL;Logging File for ATADO ;;;;;
n;ATADO;Standard Tax Cdt. Directory ;;;;;
n;ATAHL;Logging File for ATAHS ;;;;;
n;ATAHS;Standard Tax Conditions ;;;;;
n;ATAXL;Logging File for ATAXO ;;;;;
n;ATDCL;Logging ATDCS ;;;;;
n;ATRCL;ACC. TRAN. CONTENT LOGGING ;;;;;
n;ATRTL;ACCOUNT EVENT TYPE LOGGING ;;;;;
n;ATXCL;Logging ATXCO records ;;;;;
n;BATCH;Batch file ;;;;;
n;BDLGL;MIRROR OF BDLGO ;;;;;
n;CBFMO;BRUSSEL'S FORTUNE MANAGEMENT ;;private banking products per account;;;
n;CCDIL;Log CCDIS Comm.Dictionary ;;;;;
n;CCDIS;Commission Dictionary Inv. ;;;;;
n;CCGRL;COMMISSION GROUP DICTION. LOG. ;;;;;
n;CCMHL;Comm.loans Header record Log ;;;;;
n;CCOCL;Logging CCOCO Commis.Due Dates ;;;;;
n;CCOML;Logging CCOMS commissions ;;;;;
n;CCORL;Log CCORO Comm.Revision Sched. ;;;;;
